"komentar","label","preprocessedKomentar"
"Saya pernah diminta tunjukkan STNK saat ada pengecekan di jalan. Setelah dicek, langsung disuruh lanjut","netral","pernah minta tunjuk stnk kecek jalan dicek langsung suruh lanjut"
"Saat ada kecelakaan kecil di jalan, polisi datang setelah 15 menit. Tidak terlalu cepat, tapi tetap hadir","netral","celaka kecil jalan polisi datang menit lalu cepat tetap hadir"
"Polisi terlihat hadir di acara lomba 17-an kampung, tapi hanya duduk di pos","netral","polisi lihat hadir acara lomba an kampung duduk pos"
"Saya ikut antre di layanan SKCK. Prosesnya rapi, tapi tetap menunggu sesuai giliran","netral","ikut antre layan skck proses rapi tetap tunggu suai gilir"
"Polisi di area wisata kadang memberi info arah jalan, tapi tidak selalu ada petugas saat ramai","netral","polisi area wisata kadang beri info arah jalan selalu tugas ramai"
"Pernah ikut forum warga dengan pihak kepolisian. Mereka hadir, tapi sebagian besar hanya mendengar, tidak terlalu banyak respons","netral","pernah ikut forum warga pihak polisi hadir bagi besar dengar lalu banyak respons"
"Pos pengamanan Lebaran banyak dijaga polisi. Fungsinya lebih ke pemantauan lalu lintas dan istirahat pemudik","netral","pos aman lebaran banyak jaga polisi fungsi lebih pantau lalu lintas istirahat mudik"
"Saya lihat patroli polisi sering berkeliling saat malam minggu, tapi tidak berhenti lama di satu titik","netral","lihat patroli polisi sering keliling malam minggu henti lama satu titik"
"Saya sangat terbantu dengan adanya patroli polisi di jalan utama dekat rumah. Jadi lebih aman untuk keluar malam","positif","sangat bantu ada patroli polisi jalan utama dekat rumah jadi lebih aman keluar malam"
"Pelayanan perpanjangan SIM di gerai mall sangat memudahkan. Cepat, bersih, dan petugasnya ramah","positif","layan panjang sim gerai memall sangat mudah cepat bersih tugas ramah"
"Anak-anak di kampung senang diajak main oleh polisi saat mereka datang untuk kegiatan edukasi. Keren banget!","positif","anak kampung senang ajak main polisi datang giat edukasi keren banget"
"Waktu saya kecopetan di terminal, polisi dengan sigap bantu membuat laporan dan menenangkan saya yang panik","positif","waktu copet terminal polisi sigap bantu buat lapor tenang panik"
"Saya apresiasi polisi yang membantu mengatur lalu lintas saat banjir, meski harus hujan-hujanan","positif","apresiasi polisi bantu atur lalu lintas banjir meski hujan hujan"
"Proses pengaduan online via aplikasi sangat praktis. Saya dapat notifikasi tindak lanjut yang jelas","positif","proses adu online via aplikasi sangat praktis notifikasi tindak lanjut jelas"
"Polisi di kampung kami ikut ronda malam bersama warga. Jadi terasa lebih dekat dan akrab","positif","polisi kampung ikut ronda malam sama warga jadi rasa lebih dekat akrab"
"Saya terkesan dengan polisi yang membantu mengevakuasi korban kecelakaan di depan mata saya. Cepat dan tanggap","positif","kesan polisi bantu evakuasi korban celaka depan mata cepat tanggap"
"Waktu ada warga yang hilang, polisi langsung koordinasi dengan RT dan RW untuk pencarian. Terlihat usaha mereka maksimal","positif","waktu warga hilang polisi langsung koordinasi rt rw cari lihat usaha maksimal"
"Saya merasa lebih nyaman bawa kendaraan karena tahu polisi lalu lintas sering patroli di rute rawan kecelakaan","positif","rasa lebih nyaman bawa kendara beri polisi lalu lintas sering patroli rute rawan celaka"
"Polisi mengadakan bakti sosial bersih-bersih masjid di desa kami. Aksi yang sederhana tapi sangat dihargai","positif","polisi ada bakti sosial bersih masjid desa aksi sederhana sangat harga"
"Program edukasi anti-bullying di sekolah anak saya yang melibatkan kepolisian sangat menyentuh dan membekas","positif","program edukasi anti bullying sekolah anak libat polisi sangat sentuh bekas"
"Saya lihat polisi mengantar lansia menyeberang jalan di hari pasar. Tindakan kecil yang sangat berarti","positif","lihat polisi antar lansia seberang jalan hari pasar tindak kecil sangat arti"
"Pernah ada penipuan di lingkungan saya, dan polisi cepat memfasilitasi mediasi agar korban tidak semakin dirugikan","positif","pernah tipu lingkung polisi cepat fasilitas mediasi korban makin rugi"
"Polisi yang bertugas di daerah wisata sangat membantu turis, termasuk saya waktu kesasar. Ramah dan informatif","positif","polisi tugas daerah wisata sangat bantu turis masuk waktu sasar ramah informatif"
"Saya sangat menghargai polisi yang tetap berdiri mengatur lalu lintas di tengah terik matahari. Luar biasa dedikasinya","positif","sangat harga polisi tetap diri atur lalu lintas tengah terik matahari luar biasa dedikasi"
"Program Polisi Sahabat Anak sangat bagus. Anak saya jadi tidak takut lagi sama polisi dan malah bangga ketemu mereka","positif","program polisi sahabat anak sangat bagus anak jadi takut sama polisi malah bangga temu"
"Saat kehilangan dompet, polisi membantu cek CCTV dan memberi saran prosedur dengan sangat ramah","positif","hilang dompet polisi bantu cek cctv beri saran prosedur sangat ramah"
"Saya merasa bangga melihat polisi ikut membantu warga saat banjir besar kemarin, bahkan tanpa diminta","positif","rasa bangga lihat polisi ikut bantu warga banjir besar kemarin bahkan minta"
"Sikap polisi saat mengawal jenazah di jalan sangat hormat dan profesional. Patut dicontoh","positif","sikap polisi kawal jenazah jalan sangat hormat profesional patut contoh"
"Layanan SKCK sekarang jauh lebih cepat dari dulu. Petugasnya pun sopan dan informatif","positif","layan skck sekarang jauh lebih cepat dulu tugas sopan informatif"
"Saya melihat sendiri polisi membantu evakuasi pohon tumbang di jalan raya. Cepat dan kompak kerjanya","positif","lihat sendiri polisi bantu evakuasi pohon tumbang jalan raya cepat kompak kerja"
"Setiap kali ada acara besar di kota, pengamanan dari polisi selalu membuat kami merasa lebih aman","positif","kali acara besar kota aman polisi selalu buat rasa lebih aman"
"Polisi di lingkungan saya sangat responsif jika ada laporan warga. Tidak menunda dan selalu hadir","positif","polisi lingkung sangat responsif lapor warga tunda selalu hadir"
"aya terkesan saat polisi datang ke desa untuk menyampaikan imbauan soal penipuan online. Sangat relevan dan bermanfaat","positif","aya kesan polisi datang desa sampai imbau soal tipu online sangat relevan manfaat"
"Saya melihat mobil patroli polisi parkir cukup lama di satu titik, mungkin sedang mengamati situasi","netral","lihat mobil patroli polisi parkir cukup lama satu titik mungkin sedang amat situasi"
"Polisi datang ke lokasi kejadian setelah dipanggil oleh warga, dan langsung mulai mencatat informasi","netral","polisi datang lokasi jadi panggil warga langsung mulai catat informasi"
"Ada petugas yang berjaga di pos pinggir jalan, tapi tidak terlihat berinteraksi dengan pengendara","netral","tugas jaga pos pinggir jalan lihat interaksi kendara"
"Saat saya mengurus surat kehilangan, prosedur dijelaskan dengan rinci meski tetap mengikuti langkah formal","netral","urus surat hilang prosedur jelas rinci meski tetap ikut langkah formal"
"Beberapa kali saya melihat polisi mengatur lalu lintas saat jam sibuk, kadang dibantu oleh sukarelawan","netral","beberapa kali lihat polisi atur lalu lintas jam sibuk kadang bantu sukarelawan"
"Polisi terlihat hadir di beberapa kegiatan masyarakat, tapi lebih banyak sebagai pengawas ketertiban","netral","polisi lihat hadir beberapa giat masyarakat lebih banyak awas tertib"
"Waktu acara konser, polisi tampak berjaga di pintu masuk dan di dalam area konser juga","netral","waktu acara konser polisi tampak jaga pintu masuk area konser"
"Ada papan pengumuman himbauan dari polisi tentang bahaya narkoba di sekolah anak saya","netral","papan umum himbau polisi bahaya menarkoba sekolah anak"
"Saya pernah diminta ikut sidang tilang online, dan diarahkan oleh petugas. Semua sesuai alur yang berlaku","netral","pernah minta ikut sidang tilang online arah tugas semua suai alur laku"
"Ketika ada keramaian di jalan, polisi mengatur lalu lintas sebentar lalu kembali ke pos jaga","netral","ramai jalan polisi atur lalu lintas bentar lalu pos jaga"
"Polisi kadang terlihat keliling dengan mobil patroli, tapi tidak selalu berhenti atau menegur warga","netral","polisi kadang lihat keliling mobil patroli selalu henti tegur warga"
"Saya menyaksikan polisi hadir di lokasi kebakaran, tapi lebih ke menjaga lalu lintas daripada ikut pemadaman","netral","saksi polisi hadir lokasi bakar lebih jaga lalu lintas ikut padam"
"Saat membuat laporan, saya diminta melengkapi dokumen terlebih dahulu. Proses administrasinya cukup ketat","netral","buat lapor minta lengkap dokumen lebih proses administrasi cukup ketat"
"Polisi di jalan tol sering terlihat berdiri dekat pintu keluar, mungkin untuk mengawasi lalu lintas","netral","polisi jalan tol sering lihat diri dekat pintu keluar mungkin awas lalu lintas"
"Waktu saya ke kantor polisi, ada petugas yang sedang mendampingi tahanan. Tidak banyak interaksi","netral","waktu kantor polisi tugas sedang damping tahan banyak interaksi"
"Di beberapa daerah wisata, ada pos pengamanan polisi, tapi tidak selalu terlihat ada aktivitas","netral","beberapa daerah wisata pos aman polisi selalu lihat aktivitas"
"Polisi ikut rapat koordinasi dengan warga, tapi tidak semua pertanyaan dari warga ditanggapi langsung","netral","polisi ikut rapat koordinasi warga semua tanya warga tanggap langsung"
"Saya sempat melihat polisi memberi arahan kepada pengemudi angkutan umum di terminal","netral","sempat lihat polisi beri arah kemudi angkut umum terminal"
"Polisi datang saat terjadi cekcok antarwarga, namun lebih fokus pada mencatat pernyataan saksi","netral","polisi datang jadi cekcok antarwarga lebih fokus catat nyata saksi"
"Di lingkungan saya, polisi kadang berkeliling menjelang malam. Biasanya hanya satu kali putaran","netral","lingkung polisi kadang keliling jelang malam biasa satu kali putar"
"Saya sempat ke kantor polisi untuk bertanya soal syarat pengurusan surat. Semua dijawab sesuai prosedur, tapi singkat","netral","sempat kantor polisi tanya soal syarat urus surat semua jawab suai prosedur singkat"
"Polisi hadir di acara jalan sehat kampung, tapi hanya berdiri di sisi jalan untuk memantau","netral","polisi hadir acara jalan sehat kampung diri sisi jalan pantau"
"Ketika hujan deras, saya lihat petugas polisi membantu mengatur lalu lintas meski tanpa banyak bicara","netral","hujan deras lihat tugas polisi bantu atur lalu lintas meski banyak bicara"
"Polisi mendampingi warga saat simulasi bencana di desa, tapi lebih banyak mengamati dari belakang","netral","polisi damping warga simulasi bencana desa lebih banyak amat belakang"
"Ada spanduk himbauan keamanan dari polisi di gapura kampung, sudah lama tidak diganti","netral","spanduk himbau aman polisi gapura kampung lama ganti"
"Saya sangat terbantu saat motor saya mogok di jalan dan polisi patroli langsung datang membantu dorong ke pinggir","positif","sangat bantu motor mogok jalan polisi patroli langsung datang bantu dorong pinggir"
"Pelayanan di kantor polisi kini jauh lebih ramah dan tertib dibanding beberapa tahun lalu. Salut!","positif","layan kantor polisi kini jauh lebih ramah tertib banding beberapa tahun lalu salut"
"Saya pernah kehilangan anak di pasar, dan polisi langsung bantu keliling hingga akhirnya ketemu","positif","pernah hilang anak pasar polisi langsung bantu keliling hingga akhir temu"
"Kehadiran polisi di lokasi banjir sangat sigap dalam membantu evakuasi warga lansia dan anak-anak","positif","hadir polisi lokasi banjir sangat sigap bantu evakuasi warga lansia anak"
"Saat saya mengalami tabrakan kecil, polisi membantu mediasi dengan baik dan tenang","positif","alam tabrak kecil polisi bantu mediasi baik tenang"
"Akhir-akhir ini lebih banyak sosialisasi dari polisi tentang pentingnya keamanan digital. Langkah yang bagus!","positif","akhir lebih banyak sosialisasi polisi penting aman digital langkah bagus"
"Terima kasih kepada polisi yang berjaga di tempat ibadah selama hari besar keagamaan. Kami merasa aman","positif","terima kasih polisi jaga tempat ibadah lama hari besar agama rasa aman"
"Polisi yang bertugas di jalan tol cepat tanggap membantu saat mobil kami bocor ban. Profesional sekali","positif","polisi tugas jalan tol cepat tanggap bantu mobil bocor ban profesional kali"
"Saya ikut program vaksinasi yang difasilitasi Polri. Pelayanannya cepat dan rapi","positif","ikut program vaksinasi fasilitas polri layan cepat rapi"
"Polisi di desa kami sering ikut kerja bakti bersama warga. Jadi makin akrab dan dihormati","positif","polisi desa sering ikut kerja bakti sama warga jadi makin akrab hormat"
"Saya apresiasi langkah Polri dalam menangani isu penipuan online. Edukasinya menyentuh hingga tingkat RT","positif","apresiasi langkah polri tangan isu tipu online edukasi sentuh hingga tingkat rt"
"Polisi mengawal ambulans saat jalanan padat, itu sangat membantu pasien yang kritis","positif","polisi kawal ambulans jalan padat sangat bantu pasien kritis"
"Saya pernah menghubungi call center polisi karena gangguan malam hari, dan mereka segera kirim petugas","positif","pernah hubung call center polisi ganggu malam hari segera kirim tugas"
"Pengaturan lalu lintas saat malam tahun baru oleh polisi sangat rapi dan terorganisir","positif","atur lalu lintas malam tahun baru polisi sangat rapi terorganisir"
"Saya merasa terbantu dengan kehadiran polisi di taman kota yang ramai pengunjung. Anak-anak bisa bermain lebih tenang","positif","rasa bantu hadir polisi taman kota ramai kunjung anak main lebih tenang"
"Penyuluhan bahaya narkoba dari polisi di sekolah sangat informatif dan dibawakan dengan cara yang menarik","positif","suluh bahaya menarkoba polisi sekolah sangat informatif bawa cara tarik"
"Saya merasa bangga saat melihat polisi ikut bantu pelajar menyebrang jalan saat jam pulang sekolah","positif","rasa bangga lihat polisi ikut bantu ajar menyebrang jalan jam pulang sekolah"
"Waktu ada orang pingsan di jalan, polisi langsung bantu dan panggil ambulans. Aksi kemanusiaannya patut diacungi jempol","positif","waktu orang pingsan jalan polisi langsung bantu panggil ambulans aksi manusia patut acung jempol"
"Saya berterima kasih atas patroli rutin di lingkungan perumahan kami. Lingkungan jadi terasa lebih aman","positif","terima kasih atas patroli rutin lingkung rumah lingkung jadi rasa lebih aman"
"Program Polisi RW sangat bagus, kami jadi punya akses langsung untuk menyampaikan keluhan","positif","program polisi rw sangat bagus jadi punya akses langsung sampai keluh"
"Polisi lalu lintas membantu mengatur rombongan pengantar jenazah kami dengan sangat sopan dan efektif","positif","polisi lalu lintas bantu atur rombong antar jenazah sangat sopan efektif"
"Saya sempat takut mengurus laporan, tapi petugas sangat sabar dan membantu menjelaskan semua prosedurnya","positif","sempat takut urus lapor tugas sangat sabar bantu jelas semua prosedur"
"Kegiatan Jumat Berkah dari polisi yang berbagi makanan ke tukang ojek dan lansia sangat menyentuh","positif","giat jumat berkah polisi bagi makan tukang ojek lansia sangat sentuh"
"Terima kasih kepada polisi yang selalu sigap hadir saat ada kecelakaan kecil di jalur cepat","positif","terima kasih polisi selalu sigap hadir celaka kecil jalur cepat"
"Saya mengapresiasi inovasi layanan online dari Polri, membuat urusan jadi jauh lebih mudah dan efisien","positif","apresiasi inovasi layan online polri buat urus jadi jauh lebih mudah efisien"
"Saya pernah melihat polisi berdiri di lampu merah tapi tidak selalu memberi aba-aba","netral","pernah lihat polisi diri lampu merah selalu beri aba"
"Waktu saya ke kantor polisi, saya diarahkan dari satu loket ke loket lain untuk melengkapi berkas","netral","waktu kantor polisi arah satu loket loket lengkap berkas"
"Saat ada kecelakaan kecil, polisi datang tapi tidak langsung melakukan tindakan, hanya menunggu ambulans","netral","celaka kecil polisi datang langsung laku tindak tunggu ambulans"
"Polisi berjaga di depan stadion selama pertandingan sepak bola, tapi hanya terlihat memantau dari kejauhan","netral","polisi jaga depan stadion lama tanding sepak bola lihat pantau jauh"
"Saya pernah melihat polisi mengawasi kegiatan malam takbiran dari motor patrolinya","netral","pernah lihat polisi awas giat malam takbir motor patroli"
"Polisi hadir saat demo mahasiswa, tapi hanya berjaga tanpa berkomentar","netral","polisi hadir demo mahasiswa jaga komentar"
"Di desa saya, polisi datang saat malam takbiran untuk memantau jalan dan lalu lintas","netral","desa polisi datang malam takbir pantau jalan lalu lintas"
"Polisi ikut ronda di kampung seminggu sekali, biasanya hanya berputar sebentar lalu pulang","netral","polisi ikut ronda kampung minggu kali biasa putar bentar lalu pulang"
"Polisi tampak mendampingi pegawai kelurahan saat pendataan bantuan sosial","netral","polisi tampak damping gawai lurah data bantu sosial"
"Saat saya mengantar SIM C, saya diarahkan untuk tes teori terlebih dahulu","netral","antar sim arah tes teori lebih"
"Saya pernah menunggu cukup lama di ruang tunggu kantor polisi meski tidak banyak antrean","netral","pernah tunggu cukup lama ruang tunggu kantor polisi meski banyak antre"
"Polisi datang saat kebakaran rumah warga, tapi hanya menjaga agar orang tidak mendekat","netral","polisi datang bakar rumah warga jaga orang dekat"
"Ada baliho besar dari kepolisian tentang bahaya hoaks di pinggir jalan kota","netral","baliho besar polisi bahaya hoaks pinggir jalan kota"
"Polisi di pos keamanan tampak berjaga saat malam Natal, tidak terlihat berinteraksi dengan pengunjung","netral","polisi pos aman tampak jaga malam natal lihat interaksi kunjung"
"Saya pernah melihat polisi berdiri di perempatan lampu merah tanpa mengatur lalu lintas","netral","pernah lihat polisi diri empat lampu merah atur lalu lintas"
"Polisi memantau kegiatan donor darah di kantor desa, tapi tidak ikut serta","netral","polisi pantau giat donor darah kantor desa ikut"
"Saat ada konser, polisi berdiri di dekat panggung tanpa berinteraksi dengan penonton","netral","konser polisi diri dekat panggung interaksi tonton"
"Polisi keliling kampung pakai mobil sambil membunyikan sirene pelan, mungkin patroli rutin","netral","polisi keliling kampung pakai mobil bunyi sirene pelan mungkin patroli rutin"
"Saya melihat polisi mendampingi pengangkutan logistik pemilu, hanya mengawasi proses","netral","lihat polisi damping angkut logistik milu awas proses"
"Ada beberapa petugas polisi di terminal bus saat musim liburan, hanya berdiri dan memantau","netral","beberapa tugas polisi terminal bus musim libur diri pantau"
"Saya pernah lewat pos pengamanan polisi di jalan tol, tapi tidak ada yang memeriksa kendaraan","netral","pernah lewat pos aman polisi jalan tol periksa kendara"
"Polisi hadir saat senam pagi di alun-alun, tapi hanya berjaga di sisi luar lapangan","netral","polisi hadir senam pagi alun jaga sisi luar lapang"
"Saya pernah lapor kehilangan barang dan diarahkan ke petugas SPKT, prosesnya sesuai alur","netral","pernah lapor hilang barang arah tugas spkt proses suai alur"
"Saat ada kegiatan jalan sehat, polisi hadir hanya untuk buka-tutup jalan","netral","giat jalan sehat polisi hadir buka tutup jalan"
"Polisi kadang datang ke sekolah anak saya untuk memberikan pengarahan singkat soal keselamatan jalan","netral","polisi kadang datang sekolah anak beri arah singkat soal selamat jalan"
"Saya melihat polisi memantau jalur mudik, berdiri di pinggir jalan dekat tenda pengamanan","netral","lihat polisi pantau jalur mudik diri pinggir jalan dekat tenda aman"
"Polisi mendampingi relawan saat pembagian masker gratis, tapi tidak terlibat langsung","netral","polisi damping relawan bagi masker gratis libat langsung"
"Saya melihat mobil patroli berhenti di taman kota sebentar, lalu jalan lagi tanpa turun","netral","lihat mobil patroli henti taman kota bentar lalu jalan turun"
"Pos polisi dekat pasar selalu buka pagi hari, tapi tidak semua petugas tampak aktif","netral","pos polisi dekat pasar selalu buka pagi hari semua tugas tampak aktif"
"Polisi hadir di pemakaman tokoh masyarakat untuk pengamanan, tapi hanya berjaga di luar pagar","netral","polisi hadir makam tokoh masyarakat aman jaga luar pagar"
"Saat ada arak-arakan budaya, polisi membantu mengatur lalu lintas di persimpangan jalan","netral","arak arak budaya polisi bantu atur lalu lintas simpang jalan"
"Polisi tampak mengawasi lalu lintas saat jam pulang sekolah, berdiri tanpa bicara","netral","polisi tampak awas lalu lintas jam pulang sekolah diri bicara"
"Saya melihat polisi berfoto dengan warga usai kegiatan lomba Agustusan, lalu pergi","netral","lihat polisi foto warga usai giat lomba agustus lalu pergi"
"Polisi kadang parkir motor di depan minimarket saat malam, mungkin sedang patroli","netral","polisi kadang parkir motor depan minimarket malam mungkin sedang patroli"
"Waktu bencana angin puting beliung, polisi datang membantu evakuasi barang, tidak banyak bicara","netral","waktu bencana angin puting beliung polisi datang bantu evakuasi barang banyak bicara"
"Saya lihat polisi berjaga di sekitar TPS saat pemilu, tapi tidak mengganggu proses pemungutan suara","netral","lihat polisi jaga tps milu ganggu proses mungut suara"
"Polisi datang ke desa saat ada tawuran antarwarga, lalu menenangkan situasi tanpa bicara banyak","netral","polisi datang desa tawur antarwarga lalu tenang situasi bicara banyak"
"Saat malam pergantian tahun, polisi terlihat berjaga di bundaran kota bersama TNI","netral","malam ganti tahun polisi lihat jaga bundar kota sama tni"
"Saya sempat melihat polisi ikut rapat RT untuk mendengarkan aspirasi warga","netral","sempat lihat polisi ikut rapat rt dengar aspirasi warga"
"Polisi sering berdiri di pintu keluar terminal, tampaknya hanya untuk pengawasan","netral","polisi sering diri pintu keluar terminal tampak awas"
"Saat ada tenda vaksinasi di alun-alun, ada dua polisi berdiri di dekat pintu masuk","netral","tenda vaksinasi alun polisi diri dekat pintu masuk"
"Saya pernah lihat polisi duduk di pos keamanan di dekat halte, tidak terlihat aktivitas lain","netral","pernah lihat polisi duduk pos aman dekat halte lihat aktivitas"
"Polisi hadir saat pembagian sembako di desa, hanya mengatur antrean","netral","polisi hadir bagi mbako desa atur antre"
"Saat hujan deras dan banjir kecil, polisi datang tapi hanya membantu arahkan lalu lintas","netral","hujan deras banjir kecil polisi datang bantu arah lalu lintas"
"Polisi mendampingi tim medis saat vaksinasi door-to-door ke warga lansia","netral","polisi damping tim medis vaksinasi door to door warga lansia"
"Saya melihat polisi berjalan kaki di pasar saat pagi, mungkin bagian dari patroli biasa","netral","lihat polisi jalan kaki pasar pagi mungkin bagi patroli biasa"
"Polisi memantau pelaksanaan salat Idul Fitri di lapangan desa, hanya berjaga dari jarak jauh","netral","polisi pantau laksana salat idul fitri lapang desa jaga jarak jauh"
"Waktu ada pertandingan bola, polisi terlihat berjaga di luar stadion, tidak ikut ke dalam","netral","waktu tanding bola polisi lihat jaga luar stadion ikut"
"Saya pernah lapor soal gangguan suara dari tetangga, dan polisi mencatat tapi tidak langsung bertindak","netral","pernah lapor soal ganggu suara tetangga polisi catat langsung tindak"
"Polisi hadir saat kerja bakti kampung, tapi hanya mendampingi kegiatan dari jauh","netral","polisi hadir kerja bakti kampung damping giat jauh"
"Lapor kehilangan motor, tapi responsnya lambat dan terkesan tidak ada tindak lanjut","negatif","lapor hilang motor respons lambat kesan tindak lanjut"
"Petugas di kantor polisi terlihat lebih sibuk bermain ponsel daripada melayani masyarakat","negatif","tugas kantor polisi lihat lebih sibuk main ponsel layan masyarakat"
"Proses tilang manual masih terjadi meski sudah ada sistem elektronik. Bingung aturannya","negatif","proses tilang manual jadi meski sistem elektronik bingung atur"
"Ada oknum yang meminta uang untuk mempercepat pembuatan laporan. Sangat mengecewakan","negatif","oknum minta uang cepat buat lapor sangat kecewa"
"Polisi sering terlihat di jalan hanya saat operasi razia, tapi jarang saat warga butuh bantuan","negatif","polisi sering lihat jalan operasi razia jarang warga butuh bantu"
"Sikap beberapa petugas di lapangan masih kasar saat menegur pengendara","negatif","sikap beberapa tugas lapang kasar tegur kendara"
"Saya sudah lapor pencurian sejak seminggu lalu, tapi belum ada tindak lanjut sampai sekarang","negatif","lapor curi sejak minggu lalu tindak lanjut sekarang"
"Saat tanya arah di pos polisi, petugas tidak merespon dengan ramah. Malah seperti enggan membantu","negatif","tanya arah pos polisi tugas merespon ramah malah enggan bantu"
"Beberapa polisi parkir kendaraan dinas di sembarang tempat, tidak memberi contoh yang baik","negatif","beberapa polisi parkir kendara dinas sembarang tempat beri contoh baik"
"Razia kendaraan sering dilakukan di titik-titik yang rawan kemacetan, bukannya membantu malah bikin macet","negatif","razia kendara sering laku titik rawan macet bukan bantu malah bikin macet"
"Ada petugas yang terlihat merokok saat bertugas di pinggir jalan. Kurang profesional","negatif","tugas lihat rokok tugas pinggir jalan kurang profesional"
"Penanganan kasus kekerasan domestik terkesan lambat dan tidak serius","negatif","tangan kasus keras domestik kesan lambat serius"
"Sering kali laporan warga hanya dianggap angin lalu oleh petugas yang berjaga","negatif","sering kali lapor warga anggap angin lalu tugas jaga"
"Pernah diminta datang berkali-kali ke kantor polisi untuk urusan laporan yang sebenarnya bisa diselesaikan cepat","negatif","pernah minta datang kali kali kantor polisi urus lapor benar selesai cepat"
"Saat ada kerusuhan kecil di lingkungan saya, polisi datang terlambat setelah warga sendiri meredakan situasi","negatif","rusuh kecil lingkung polisi datang lambat warga sendiri reda situasi"
"Beberapa petugas tampak tidak sigap saat diminta bantu evakuasi saat banjir lokal","negatif","beberapa tugas tampak sigap minta bantu evakuasi banjir lokal"
"Komunikasi antar petugas terlihat tidak solid. Satu bilang A, satu lagi bilang B","negatif","komunikasi antar tugas lihat solid satu bilang satu bilang"
"Ada oknum yang sering memanfaatkan posisi untuk menakut-nakuti warga kecil","negatif","oknum sering manfaat posisi takut takut warga kecil"
"Saat terjadi pencurian ringan, warga malah disarankan menyelesaikan sendiri. Lalu apa gunanya laporan?","negatif","jadi curi ringan warga malah saran selesai sendiri lalu apa guna lapor"
"Masih ada budaya pungli dalam proses pelayanan di beberapa daerah","negatif","budaya pungli proses layan beberapa daerah"
"Kurangnya transparansi dalam menangani kasus yang melibatkan aparat sendiri","negatif","kurang transparansi tangan kasus libat aparat sendiri"
"Saya melihat beberapa petugas tertidur di pos jaga saat malam hari","negatif","lihat beberapa tugas tidur pos jaga malam hari"
"Ada kesan pilih kasih dalam penanganan kasus hukum, tergantung siapa yang melapor","negatif","kesan pilih kasih tangan kasus hukum gantung siapa lapor"
"Saya merasa diintimidasi saat diperiksa, padahal saya kooperatif dan tidak melakukan pelanggaran","negatif","rasa intimidasi periksa padahal kooperatif laku langgar"
"Petugas sering lambat merespon panggilan darurat dari masyarakat","negatif","tugas sering lambat memerespon panggil darurat masyarakat"
"Banyak polisi yang hanya berani tegas ke rakyat kecil, tapi bungkam saat hadapi pelanggar besar","negatif","banyak polisi berani tegas rakyat kecil bungkam hadap langgar besar"
"Pelayanan di kantor polisi kadang seperti tidak punya sistem. Tidak jelas harus ke siapa","negatif","layan kantor polisi kadang punya sistem jelas siapa"
"Ada petugas yang tidak memakai seragam dengan rapi dan tampak malas saat bertugas","negatif","tugas pakai ragam rapi tampak malas tugas"
"Saya pernah diminta mengulang laporan karena katanya 'salah format'. Padahal sudah sesuai arahan","negatif","pernah minta ulang lapor kata salah format padahal suai arah"
"Polisi kadang seperti tidak netral saat mengamankan aksi demonstrasi","negatif","polisi kadang netral aman aksi demonstrasi"
"Saya melihat polisi berjaga di dekat rel kereta saat jam padat kendaraan","netral","lihat polisi jaga dekat rel kereta jam padat kendara"
"Ada mobil patroli yang lewat di jalan komplek sekitar pukul 10 malam","netral","mobil patroli lewat jalan komplek pukul malam"
"Polisi ikut hadir di kegiatan posyandu tapi hanya sebagai pengamat","netral","polisi ikut hadir giat posyandu amat"
"Saat malam tahun baru, polisi terlihat di beberapa titik jalan besar","netral","malam tahun baru polisi lihat beberapa titik jalan besar"
"Saya pernah melihat polisi membantu mengatur arus saat lampu lalu lintas mati","netral","pernah lihat polisi bantu atur arus lampu lalu lintas mati"
"Polisi mendampingi petugas Dinas Sosial saat pembagian bantuan tunai","netral","polisi damping tugas dinas sosial bagi bantu tunai"
"Di sekitar area CFD, ada pos polisi yang terbuka setiap minggu pagi","netral","area cfd pos polisi buka minggu pagi"
"Beberapa polisi terlihat duduk di warung saat sore menjelang malam","netral","beberapa polisi lihat duduk warung sore jelang malam"
"Saat pelaksanaan ujian nasional, polisi ikut mengawal distribusi soal","netral","laksana uji nasional polisi ikut kawal distribusi soal"
"Di dekat sekolah anak saya, ada petugas polisi yang berjaga tiap pagi","netral","dekat sekolah anak tugas polisi jaga tiap pagi"
"Saya melihat patroli motor polisi melewati daerah pinggiran kota saat sore","netral","lihat patroli motor polisi lewat daerah pinggir kota sore"
"Polisi tampak berjaga di dekat SPBU saat terjadi antrean panjang","netral","polisi tampak jaga dekat spbu jadi antre panjang"
"Di pos lebaran, saya lihat ada 2 polisi duduk sambil memantau kendaraan","netral","pos lebaran lihat polisi duduk pantau kendara"
"Polisi tampak memeriksa kendaraan logistik yang masuk ke pasar","netral","polisi tampak periksa kendara logistik masuk pasar"
"Ada petugas polisi yang mendampingi penyuluhan Kamtibmas di balai warga","netral","tugas polisi damping suluh kamtibmas balai warga"
"Polisi terlihat ikut baris dalam upacara 17-an bersama ASN","netral","polisi lihat ikut baris upacara an sama asn"
"Saya lihat polisi mengawasi aktivitas warga dari kejauhan saat malam minggu","netral","lihat polisi awas aktivitas warga jauh malam minggu"
"Polisi membantu membagikan brosur keselamatan berkendara di lampu merah","netral","polisi bantu bagi brosur selamat kendara lampu merah"
"Saat pemadaman listrik besar, polisi berjaga di beberapa titik ramai","netral","padam listrik besar polisi jaga beberapa titik ramai"
